Date,Airline,Flight,From,To,Aircraft Type Name
2007-10-20,CES,579,NKG,ICN,Airbus A320
2007-10-24,AAR,8121,TAE,CJU,Boeing 737-400
2007-10-26,CES,2072,CJU,PVG,Airbus A320
2008-07-11,CES,2701,NKG,TAO,Airbus A320
2008-07-15,CES,2702,TAO,NKG,Airbus A320
2009-08-06,CES,5790,NKG,KMG,Boeing 737
2009-08-11,CES,5791,KMG,NKG,Boeing 737
2011-07-28,CES,765,NKG,HKG,Airbus A321
2011-08-01,CES,766,HKG,NKG,Airbus A321
2012-08-05,DAL,128,PEK,SEA,Boeing 767
2012-09-02,DAL,129,SEA,PEK,Boeing 767
2014-07-29,UIA,175,YNZ,TPE,Airbus A321
2014-08-05,UIA,176,TPE,YNZ,Airbus A321
2016-08-14,QTR,871,PVG,DOH,Boeing 777-300 ER
2016-08-16,QTR,125,DOH,VCE,Airbus A330-200
2016-09-07,QTR,126,VCE,DOH,Airbus A330-200
2016-09-08,QTR,870,DOH,PVG,Boeing 777-300 ER
2018-07-03,CRK,239,SHA,HKG,Airbus A350-900
2018-07-04,CRK,616,HKG,KIX,Airbus A330-300
2018-07-11,CRK,617,KIX,HKG,Airbus A330-300
2018-07-11,CRK,234,HKG,PVG,Airbus A330-300
2019-04-30,CCA,4542,SHA,CKG,Boeing 737-800
2019-05-05,CHH,7961,CKG,PVG,Boeing 787-9
2019-11-10,CCA,1893,PVG,SZX,Airbus A330-200
2019-11-12,CSZ,9511,SZX,SHA,Airbus A330-300
2019-12-25,CES,5814,SHA,KMG,Boeing 737-800
2019-12-25,CES,757,KMG,KTM,Boeing 737-800
2019-12-28,BHA,617,KTM,PKR,ATR 42 / ATR 72
2019-12-30,BHA,643,PKR,BHR,Hawker Beechcraft 1900D
2020-01-01,BHA,352,BHR,KTM,ATR 42 / ATR 72
2020-01-01,CES,758,KTM,KMG,Boeing 737-700
2020-01-02,CES,5801,KMG,SHA,Boeing 737-800
2020-05-29,CES,5403,PVG,CTU,Airbus A350-900
2020-05-31,CES,5296,CTU,PVG,Airbus A320
2020-06-22,CES,5663,SHA,XMN,Airbus A320neo
2020-06-24,CXA,8225,XMN,CSX,Boeing 737-800
2020-06-27,CSH,9392,CSX,SHA,Boeing 737-800
2020-07-07,CHH,7208,PVG,SZX,Boeing 787-8
2020-07-07,DKH,1202,SZX,SHA,Boeing 787-9
2020-07-12,CES,9720,SHA,LJG,
2020-07-13,CES,9640,LJG,XIY,Airbus A319
2020-07-13,CES,2165,XIY,SHA,Airbus A320neo
2020-07-18,CES,5263,PVG,ZUH,Airbus A321
